Month,Members Count,Casual Count,Mean Ride Length (Minutes) - Overall,Mean Ride Length (Minutes) - Members,Mean Ride Length (Minutes) - Casual,Max Ride Length (Minutes),Min Ride Length (Minutes)
January,120413,24460,13.7053626279569,12.96229642978748,17.363368765331153,1439.0,0.0
February,176001,47163,15.015437077664858,13.206680643859979,21.765282106736212,1439.0,0.0
March,219137,82550,16.847471054437214,13.713877619936387,25.165899454875834,1439.0,0.0
April,283215,131810,18.207691102945606,14.262825062231874,26.683870723010394,1439.0,0.0
May,378475,231018,21.421980236032244,16.132180461060834,30.088218234076997,1439.0,0.0
June,409594,301127,21.421980236032244,16.50233491376013,18.348459343289267,59.95,0.0
July,428416,320546,17.227701405411757,16.41133442728563,18.31879184266845,59.9,0.0
August,437359,318280,16.97951960746688,16.176239961526647,18.08333254786142,59.95,0.0
September,428416,320546,17.227701405411757,16.41133442728563,18.31879184266845,59.9,0.0
October,399835,216446,15.985958110017995,15.328566033488814,17.20034119364645,59.96666666666667,0.0
November,241997,93078,14.86816677858191,14.503623736382407,15.815955972410238,59.9,0.0
